"filename", "language", "Dart", "comment", "blank", "total"
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\activity\bloc\activity_bloc.dart", "Dart", 88, 0, 11, 99
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\activity\bloc\activity_event.dart", "Dart", 35, 0, 8, 43
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\activity\bloc\activity_state.dart", "Dart", 14, 0, 8, 22
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\activity_choice\bloc\activity_choice_bloc.dart", "Dart", 37, 0, 7, 44
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\activity_choice\bloc\activity_choice_event.dart", "Dart", 26, 0, 7, 33
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\activity_choice\bloc\activity_choice_state.dart", "Dart", 12, 0, 6, 18
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\attendance\bloc\attendance_bloc.dart", "Dart", 32, 0, 6, 38
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\attendance\bloc\attendance_event.dart", "Dart", 20, 0, 6, 26
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\attendance\bloc\attendance_state.dart", "Dart", 14, 0, 9, 23
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\auth\bloc\auth_bloc.dart", "Dart", 128, 5, 13, 146
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\auth\bloc\auth_event.dart", "Dart", 15, 0, 7, 22
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\auth\bloc\auth_state.dart", "Dart", 22, 2, 16, 40
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\group\bloc\group_bloc.dart", "Dart", 65, 0, 10, 75
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\group\bloc\group_event.dart", "Dart", 13, 0, 9, 22
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\group\bloc\group_state.dart", "Dart", 13, 0, 8, 21
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\groupdetail\bloc\groupdetail_bloc.dart", "Dart", 26, 0, 5, 31
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\groupdetail\bloc\groupdetail_event.dart", "Dart", 7, 0, 3, 10
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\groupdetail\bloc\groupdetail_state.dart", "Dart", 13, 0, 7, 20
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\invite_member\invitation\bloc\invitation_bloc.dart", "Dart", 94, 0, 18, 112
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\invite_member\invitation\bloc\invitation_event.dart", "Dart", 13, 0, 6, 19
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\invite_member\invitation\bloc\invitation_state.dart", "Dart", 21, 0, 11, 32
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\invite_member\link_invite\bloc\member_invite_bloc.dart", "Dart", 54, 2, 8, 64
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\invite_member\link_invite\bloc\member_invite_event.dart", "Dart", 12, 0, 5, 17
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\invite_member\link_invite\bloc\member_invite_state.dart", "Dart", 14, 0, 9, 23
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\today_activity\bloc\today_activity_bloc.dart", "Dart", 23, 0, 5, 28
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\today_activity\bloc\today_activity_event.dart", "Dart", 5, 0, 2, 7
"d:\Personal\Workspace\Flutter\attendo_app\lib\app_blocs\today_activity\bloc\today_activity_state.dart", "Dart", 13, 0, 8, 21
