"filename", "language", "JavaScript", "JSON", "Dart", "comment", "blank", "total"
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\activity\create_or_update_activity_screen.dart", "Dart", 0, 0, -185, -6, -12, -203
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\authentication\login_screen.dart", "Dart", 0, 0, -264, -1, -5, -270
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\authentication\signup_screen.dart", "Dart", 0, 0, -152, 0, -4, -156
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\authentication\verify_email_screen.dart", "Dart", 0, 0, -82, -3, -14, -99
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\group\group_detail_screen.dart", "Dart", 0, 0, -255, -4, -10, -269
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\invite\invite_screen.dart", "Dart", 0, 0, -81, 0, -6, -87
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\main_screen.dart", "Dart", 0, 0, -73, 0, -7, -80
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\navigation\activity\activity_screen.dart", "Dart", 0, 0, -93, 0, -4, -97
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\navigation\home\home_screen.dart", "Dart", 0, 0, -572, -10, -15, -597
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\navigation\notify\notification_screen.dart", "Dart", 0, 0, -215, -1, -7, -223
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\navigation\profile\profile_screen.dart", "Dart", 0, 0, -224, -1, -5, -230
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\navigation\setting\settings_screen.dart", "Dart", 0, 0, -227, 0, -5, -232
"d:\Personal\Workspace\Flutter\attendo_app\lib\screens\splash\splash_screen.dart", "Dart", 0, 0, -47, -1, -8, -56
"d:\Personal\Workspace\Flutter\attendo_app\lib\services\FCMTokenService.dart", "Dart", 0, 0, -45, 0, -5, -50
"d:\Personal\Workspace\Flutter\attendo_app\lib\services\activity_status_service.dart", "Dart", 0, 0, -48, -6, -12, -66
"d:\Personal\Workspace\Flutter\attendo_app\lib\services\attendance_service.dart", "Dart", 0, 0, -120, 0, -14, -134
"d:\Personal\Workspace\Flutter\attendo_app\lib\services\color_service.dart", "Dart", 0, 0, -16, 0, -1, -17
"d:\Personal\Workspace\Flutter\attendo_app\lib\services\convert_service.dart", "Dart", 0, 0, -29, -5, -11, -45
"d:\Personal\Workspace\Flutter\attendo_app\lib\services\get_timezone.dart", "Dart", 0, 0, -7, 0, -2, -9
"d:\Personal\Workspace\Flutter\attendo_app\lib\services\invite_user_service.dart", "Dart", 0, 0, -32, -1, -9, -42
"d:\Personal\Workspace\Flutter\attendo_app\lib\services\today_activity_service.dart", "Dart", 0, 0, -100, -2, -12, -114
"d:\Personal\Workspace\Flutter\attendo_app\lib\services\username_generator.dart", "Dart", 0, 0, -15, 0, -4, -19
"d:\Personal\Workspace\Flutter\attendo_app\lib\services\username_service.dart", "Dart", 0, 0, -18, 0, -4, -22
